국가별,시점,외환보유액
뉴질랜드,2011,17012
뉴질랜드,2012,17583
뉴질랜드,2013,16318
뉴질랜드,2014,15861
뉴질랜드,2015,14700
뉴질랜드,2016,17808
뉴질랜드,2017,20684
뉴질랜드,2018,17657
뉴질랜드,2019,17814
뉴질랜드,2020,13733
